Vendor County Code,Vendor County,Obligation Year and Month, Number of Families Redeemed Food Benefits , Number of Food Instruments Redeemed , Dollar Amount Redeemed for Food Instruments , Number of WIC Card Transactions Processed , Dollar Amount Reimbursed for WIC Card Transactions , Average Cost per Family , Statewide Infant Formula Rebate , Total Cost Adjusted , Average Cost Adjusted 
0,Statewide,2019,"1,605,331","31,708,833","649,566,563.58","1,228,507","42,648,675.07",431.2,"214,555,815.56","477,659,423.09",297.55
0,Statewide,201901,"585,256","2,954,497","60,242,595.22",,,102.93,"19,832,012.61","40,410,582.61",69.05
0,Statewide,201902,"579,383","2,928,131","59,737,707.98",,,103.11,"17,134,898.26","42,602,809.72",73.53
0,Statewide,201903,"572,695","2,872,747","58,808,020.23",,,102.69,"17,669,127.22","41,138,893.01",71.83
0,Statewide,201904,"570,971","2,885,774","58,910,279.55",,,103.18,"18,128,406.25","40,781,873.30",71.43
0,Statewide,201905,"549,481","2,883,560","58,939,227.20",,,107.26,"18,975,100.67","39,964,126.53",72.73
0,Statewide,201906,"543,694","2,857,151","58,271,223.61","7,065","225,905.88",107.59,"16,920,094.61","41,577,034.88",76.47
0,Statewide,201907,"548,693","2,867,842","58,472,314.79","11,976","391,966.69",107.28,"18,533,699.71","40,330,581.77",73.5
0,Statewide,201908,"544,787","2,816,504","57,559,894.33","14,873","484,969.53",106.55,"17,819,021.64","40,225,842.22",73.84
0,Statewide,201909,"532,322","2,627,301","53,787,042.18","95,450","3,272,204.39",107.19,"16,811,283.27","40,247,963.30",75.61
0,Statewide,201910,"526,073","2,330,214","48,156,585.29","231,420","7,808,209.83",106.38,"18,658,903.49","37,305,891.63",70.91
0,Statewide,201911,"506,286","2,005,505","41,716,414.15","351,696","12,272,848.55",106.64,"15,970,698.40","38,018,564.30",75.09
0,Statewide,201912,"492,633","1,679,607","34,965,259.05","516,027","18,192,570.20",107.91,"18,102,569.43","35,055,259.82",71.16
1,Alameda,2019,"59,327","656,225","13,816,977.37","112,482","4,630,785.11",310.95,,,
1,Alameda,201901,"16,063","77,291","1,601,246.89",,,99.69,,,
1,Alameda,201902,"16,105","77,299","1,615,577.29",,,100.32,,,
1,Alameda,201903,"16,041","76,968","1,614,438.42",,,100.64,,,
1,Alameda,201904,"16,107","77,250","1,639,212.58",,,101.77,,,
1,Alameda,201905,"15,970","75,881","1,612,995.66",,,101,,,
1,Alameda,201906,"15,570","74,548","1,585,979.69",,,101.86,,,
1,Alameda,201907,"15,516","73,608","1,564,341.74",1,2.99,100.82,,,
1,Alameda,201908,"14,919","70,619","1,498,961.01",12,792.35,100.53,,,
1,Alameda,201909,"13,953","38,374","795,324.76","16,520","671,161.83",105.1,,,
1,Alameda,201910,"13,607","13,825","274,490.15","29,188","1,156,538.60",105.17,,,
1,Alameda,201911,"12,884",297,"7,277.33","33,205","1,377,071.16",107.45,,,
1,Alameda,201912,"12,990",265,"7,131.85","33,556","1,425,218.18",110.27,,,
3,Amador,2019,"1,581","14,815","284,603.53","2,810","80,267.26",230.78,,,
3,Amador,201901,393,"1,594","31,034.15",,,78.97,,,
3,Amador,201902,349,"1,561","31,560.60",,,90.43,,,
3,Amador,201903,351,"1,656","30,838.63",,,87.86,,,
3,Amador,201904,364,"1,677","31,096.87",,,85.43,,,
3,Amador,201905,370,"1,685","31,496.55",,,85.13,,,
3,Amador,201906,351,"1,589","30,206.67",,,86.06,,,
3,Amador,201907,366,"1,683","32,727.32",,,89.42,,,
3,Amador,201908,355,"1,616","31,727.80",,,89.37,,,
3,Amador,201909,340,"1,305","24,967.81",184,"5,206.19",88.75,,,
3,Amador,201910,331,409,"8,117.33",734,"20,618.98",86.82,,,
3,Amador,201911,325,28,448.47,931,"26,121.66",81.75,,,
3,Amador,201912,311,12,381.33,961,"28,320.43",92.29,,,
4,Butte,2019,"11,477","131,953","2,543,132.33","19,240","594,849.16",273.41,,,
4,Butte,201901,"2,980","14,402","280,842.53",,,94.24,,,
4,Butte,201902,"2,891","14,068","275,631.56",,,95.34,,,
4,Butte,201903,"2,886","14,193","276,582.66",,,95.84,,,
